num_poste,datouvr,datferm,commune,nom_usuel,lieu_dit,lat_dms,lon_dms,latitude,longitude,lambx,lamby,lambx_100,lamby_100,latitude_calc,longitude_calc,alti,oaci,type_poste_actuel,
98725010,29-Aug-2022,null,MAHINA,MAHINA 9,CitÃƒÂ© Jay,"17°31'32""S","149°29'34""W",-17.525500,-149.492667,8725,80589,8724.83,80588.50,-17.52555556,-149.49277778,278,null,2,
98726001,01-Apr-1954,31-Aug-2015,MAKEMO,MAKEMO,POUHEVA VILLAGE,"16°37'20""S","143°34'10""W",-16.622167,-143.569500,15097,81383,15096.86,81382.94,-16.62222222,-143.56944444,2,null,4,
98726002,01-Apr-2018,null,MAKEMO,MAKEMO 1,PUPUAIHERE,"16°37'31""S","143°35'7""W",-16.625333,-143.585167,15080,81380,15079.79,81380.20,-16.62527778,-143.58527778,2,null,4,
98727001,01-Sep-1992,null,MANIHI,MANIHI AERO,MANIHI AERODROME,"14°26'12""S","146°4'18""W",-14.436667,-146.071667,12484,83926,12484.01,83926.40,-14.43666667,-146.07166667,4,null,4,
98727002,01-Apr-1993,31-May-1994,MANIHI,AHE,TENUKUPARA VILLAGE,"14°31'42""S","146°21'12""W",-14.528333,-146.353333,12176,83833,12175.55,83833.47,-14.52833333,-146.35333333,2,null,4,
98727600,20-Aug-2010,null,MANIHI,PT-NORD-OUEST-TUAMOTU,PT-NORD-OUEST-TUAMOTU,"12°30'0""S","147°30'0""W",-12.500000,-147.500000,10985,86119,10984.62,86119.09,-12.5,-147.5,0,null,7,
98728001,01-Aug-1982,null,MAUPITI,PETEI,Ecole primaire de PETEI,"16°26'59""S","152°14'55""W",-16.449667,-152.248667,5802,81812,5802.09,81811.53,-16.44972222,-152.24861111,2,null,2,
98728003,01-Dec-1994,31-Jul-1997,MAUPITI,MOPELIA 2,ILE DE MOPELIA,"16°48'0""S","153°55'60""W",-16.800000,-153.933333,4005,81423,4005.40,81423.13,-16.8,-153.93333333,1,null,4,
98728004,01-Apr-1952,05-Mar-1981,MAUPITI,MOPELIA,METEO MOPELIA,"16°46'18""S","153°56'48""W",-16.771667,-153.946667,3991,81454,3991.05,81454.41,-16.77166667,-153.94666667,2,null,0,
98728600,01-Jun-2008,null,MAUPITI,EST MOPELIA,EST MOPELIA,"16°30'0""S","153°30'0""W",-16.500000,-153.500000,4466,81757,4466.37,81756.68,-16.5,-153.5,0,null,7,
98728601,20-Aug-2010,null,MAUPITI,PT-ISLES-SOUS-LE-VENT,PT-ISLES-SOUS-LE-VENT,"17°30'0""S","152°30'0""W",-17.500000,-152.500000,5531,80650,5530.81,80650.38,-17.5,-152.5,0,null,7,
98729001,01-Oct-1958,31-May-1989,MOOREA-MAIAO,AFAREIATU 1,ILE DE MOOREA,"17°33'6""S","149°47'30""W",-17.551667,-149.791667,8407,80565,8406.51,80565.13,-17.55166667,-149.79166667,2,null,4,
98729002,01-Oct-1959,01-Jun-2012,MOOREA-MAIAO,HAAPITI 1,MAIRIE HAAPITI,"17°33'54""S","149°52'6""W",-17.565000,-149.868333,8325,80552,8324.80,80551.72,-17.565,-149.86833333,2,null,4,
98729003,01-Nov-1959,null,MOOREA-MAIAO,PAOPAO 1,QUARTIER PUTUA,"17°31'24""S","149°48'42""W",-17.523333,-149.811667,8386,80597,8385.78,80596.88,-17.52333333,-149.81166667,100,null,2,
98729004,01-Oct-1959,31-Dec-1977,MOOREA-MAIAO,PAPETOAI 1,POINTE TAIARI,"17°29'42""S","149°52'18""W",-17.495000,-149.871667,8323,80629,8322.53,80629.32,-17.495,-149.87166667,2,null,4,
98729005,01-Jan-1970,31-May-1989,MOOREA-MAIAO,PAPETOAI 2,COLLEGE OPUNOHU,"17°31'42""S","149°50'60""W",-17.528333,-149.850000,8345,80592,8344.95,80592.02,-17.52833333,-149.85,90,null,4,
98729006,01-Jan-1973,31-May-1979,MOOREA-MAIAO,PAOPAO 2,VILLAGE BAIE DE PAOPAO,"17°30'36""S","149°49'18""W",-17.510000,-149.821667,8375,80612,8375.40,80611.82,-17.51,-149.82166667,2,null,4,
98729007,01-Jan-1977,null,MOOREA-MAIAO,AFAREAITU 2,AFAREAITU     SDR,"17°32'56""S","149°47'29""W",-17.548833,-149.791333,8407,80568,8406.92,80568.26,-17.54888889,-149.79138889,10,null,2,
